user_id,REGION,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,TIGO,REGULARITY,TOP_PACK,FREQ_TOP_PACK,CHURN
282037f4eadd20a0fc1db4ad9bec4c1ed9dfaa3a,KOLDA,K > 24 month,500.0,1.0,163.0,54.0,3.0,0.0,1.0,45.0,3.0,16.0,Voice Package,5.0,No
6fe773706f8212c1fd35d4dd5c967d5bc8b26ed1,THIES,H 15-18 month,2000.0,2.0,3480.0,1160.0,6.0,1942.0,3.0,123.0,1.0,35.0,Data Package,2.0,No
2ba79bc7d58aeda690303558795f7249cf7f9415,LOUGA,K > 24 month,4200.0,9.0,4203.0,1401.0,17.0,3.0,690.0,5.0,1.0,20.0,Voice Package,7.0,No
5c3bd352840e4961cc03092521b3f79f3cda97c5,DAKAR,K > 24 month,1000.0,1.0,3000.0,1000.0,6.0,295.0,27.0,33.0,7.0,1.0,Voice Package,5.0,Yes
8e00ff5cf4edb27800da0443a2fc5f8d88c129da,LOUGA,K > 24 month,1000.0,2.0,1000.0,333.0,2.0,3.0,71.0,31.0,0.0,49.0,Voice Package,1.0,No
fd7538cfd812c61eb47adc67a10ea1ba596cdb5d,SAINT-LOUIS,K > 24 month,5500.0,11.0,6000.0,2000.0,17.0,122.0,14.0,126.0,5.0,58.0,Voice Package,7.0,No
09ab4de33ca5447d0003866c56675622f4c25d74,KAOLACK,K > 24 month,16800.0,29.0,16458.0,5486.0,32.0,8266.0,208.0,206.0,128.0,60.0,Voice Package,16.0,No
dec70b8b2b57718fa82244c13146c533da87f500,DIOURBEL,K > 24 month,1000.0,2.0,989.0,330.0,3.0,2573.0,3.0,6.0,1.0,19.0,Data Package,2.0,No
5c67c1bbddf0781367438d118292ae0086ca4825,KAOLACK,K > 24 month,18000.0,33.0,19000.0,6333.0,35.0,63.0,364.0,682.0,7.0,53.0,Voice Package,38.0,No
d483b5537b8db2cefb8730531acc65c490af9875,DAKAR,K > 24 month,3000.0,5.0,3000.0,1000.0,6.0,295.0,27.0,33.0,7.0,8.0,Voice Package,5.0,No
f23bfa1087d4c5d317f3d402d69c6897308d4ea0,DAKAR,K > 24 month,3000.0,5.0,3000.0,1000.0,6.0,295.0,1.0,33.0,7.0,2.0,Voice Package,5.0,Yes
97fa6a4fac185185e45b6b428a9868b9b0272294,DAKAR,K > 24 month,250.0,1.0,250.0,83.0,1.0,295.0,14.0,33.0,7.0,4.0,Voice Package,1.0,No
f4b09fbe72b56ede83bd50f748fd4e449e6d7c57,KAOLACK,K > 24 month,800.0,8.0,900.0,300.0,12.0,0.0,27.0,11.0,7.0,46.0,Voice Package,5.0,No
323153c75fb66cfb5a007397939e7a3f8c0b2175,THIES,K > 24 month,3000.0,5.0,500.0,167.0,1.0,0.0,26.0,8.0,8.0,22.0,Voice Package,1.0,No
2fce76e869801c714bff8508793838e04a4011a7,MATAM,H 15-18 month,2300.0,12.0,2436.0,812.0,15.0,1162.0,27.0,3.0,1.5,19.0,Data Package,16.0,No
c629884bfcd13b0913cc6730723a8ec3826dd220,DAKAR,K > 24 month,3900.0,9.0,3901.0,1300.0,11.0,295.0,393.0,33.0,7.0,62.0,Jokko Package,6.0,No
1353221b50a6c8f6b49481c64c9698ba6cd2f3fb,DAKAR,K > 24 month,4500.0,9.0,4500.0,1500.0,9.0,295.0,244.0,33.0,7.0,49.0,Voice Package,9.0,No
